x, y, vx, vy
68, 180, 5.33263, 0.0234824
68, 184, 5.13801, 0.0911605
68, 188, 5.02587, 0.0988793
68, 192, 4.95182, 0.076399
68, 196, 4.90602, 0.0458714
72, 0, 4.92875, 0.0140953
72, 4, 4.93661, 0.00952412
72, 8, 4.96716, -0.00195144
72, 12, 5.01769, -0.0171159
72, 16, 5.0885, -0.0215468
72, 20, 5.19615, 0.00254545
72, 24, 5.40419, 0.0872065
72, 28, 5.87337, 0.302823
72, 32, 6.75964, 0.671063
72, 36, 7.75495, 0.934419
72, 40, 8.29195, 0.806931
72, 44, 9.08499, 0.676249
72, 48, 10.9071, 0.778055
72, 52, 12.5607, 0.869669
72, 56, 8.8089, 0.875257
72, 60, 1.7953, 0.643932
72, 64, 0.343335, 0.354444
72, 68, 0, 0
72, 72, 0, 0
72, 76, 0, 0
72, 80, 0, 0
